Time,Hot Water,Space Heat,Electricity,Charge
414,188.0273103,5734.28259,241.20075,300
415,794.4718329,7834.778874,531.8225,300
416,188.0273103,10881.20874,421.57525,300
417,1176.220885,9674.567068,1424.092,300
418,188.0273103,8772.858934,899.26525,300
419,188.0273103,7895.160164,383.053,300
420,188.0273103,6897.532082,455.8635,300
421,1133.458771,6131.877652,867.48875,300
422,188.0273103,5849.994937,1082.107,300
423,188.0273103,5897.858665,521.595,300
424,188.0273103,6109.859529,333.207,300
425,775.8120015,6407.224486,378.44125,300
426,188.0273103,6556.338386,503.3825,300
427,188.0273103,6556.371728,507.08525,300
428,188.0273103,6664.108847,532.66675,300
429,1214.318041,6742.351652,655.58275,300
430,188.0273103,6882.801981,838.88475,300
431,300.763792,5000.682212,586.1685,300
432,188.0273103,2196.455949,328.7785,300
433,188.2490582,3513.973153,230.6855,300
434,188.2496759,4380.44912,249.46425,300
435,188.2496759,4991.11174,249.66225,300
436,188.2496759,5451.891852,242.32425,300
437,188.2496759,5758.426854,234.3975,300
438,188.2496759,5926.698626,355.10825,300
439,2825.51109,8044.135613,451.1025,300
440,698.8882496,11007.98903,396.147,300
441,188.2496759,9577.795044,256.44475,300
442,779.8431455,8314.824975,330.98075,300
443,1352.754716,7477.672522,261.80325,300
444,482.4895858,6780.526278,235.3745,300
445,1184.617625,6716.077355,279.4485,300
446,484.0464107,6237.50845,525.26825,300
447,253.6363226,5854.790782,927.39425,300
448,188.2496759,6179.900814,687.38875,300
449,188.2496759,6205.255771,352.58025,300
450,4206.025588,5956.40835,364.625,300
451,577.4559059,5694.416246,384.74725,300
452,225.613474,6179.352159,771.45075,300
453,218.4131588,6396.459164,759.3115,300
454,188.2496759,6666.984757,587.556,300
455,246.6306104,4816.393792,437.911,300
456,188.2496759,2065.501563,426.60575,300
457,188.4669498,3457.694255,384.53125,300
458,188.4675551,4350.012185,238.30775,300
459,188.4675551,4957.231954,224.80775,300
460,188.4675551,5383.091152,233.85275,300
461,188.4675551,5673.733159,223.0175,300
462,188.4675551,5796.675116,243.9135,300
463,1151.698905,7743.352002,250.50825,300
464,1380.817042,10470.41511,1034.2545,300
465,188.4675551,9334.459976,584.278,300
466,233.6677317,8821.835063,705.049,300
467,188.4675551,8421.846807,404.469,300
468,188.4675551,7971.092709,471.26925,300
469,1136.112638,7593.411793,1114.2845,300
470,188.4675551,7398.853969,1191.11425,300
471,188.4675551,7181.704353,352.67075,300
472,677.0970507,6836.724939,470.51575,300
473,188.4675551,6561.416283,384.277,300
474,188.4675551,6572.136873,495.44375,300
475,281.9851619,6654.740279,595.8235,300
476,2940.223136,6799.496892,707.61525,300
477,188.4675551,6748.860469,581.77925,300
478,238.343612,6816.101992,492.14675,300
479,188.4675551,4835.576184,449.03825,300
480,188.4675551,2115.143568,277.3495,300
481,188.6803203,3532.911308,215.95025,300
482,188.6809129,4475.826739,244.17625,300
483,188.6809129,5103.387183,248.8425,300
484,188.6809129,5524.610849,247.1025,300
485,188.6809129,5802.887329,248.98075,300
486,277.6232142,5989.357122,249.7335,300
487,1029.731797,8163.804563,379.046,300
488,188.6809129,11220.19445,420.912,300
489,210.5263904,9886.083656,363.22075,300
490,188.6809129,8357.329545,297.53525,300
491,188.6809129,7477.781026,422.5175,300
492,188.6809129,7944.290763,477.299,300
493,1972.208112,7675.632285,362.395,300
494,188.6809129,6919.045414,1299.5365,300
495,188.6809129,6565.469752,482.069,300
496,188.6809129,7139.268668,527.346,300
497,188.6809129,7738.177654,577.8035,300
498,188.6809129,7813.597437,381.35575,300
499,188.6809129,7879.813039,678.6495,300
500,2029.162393,7884.781088,1701.79025,300
501,232.3718679,7855.205746,1621.53725,300
502,188.6809129,7792.387046,747.127,300
503,235.4926504,5638.175407,459.6375,300
504,188.6809129,2658.649127,492.3835,300
505,188.8891359,3830.397956,248.76075,300
506,188.8897159,4528.678646,248.83075,300
507,188.8897159,4998.629257,246.9925,300
508,188.8897159,5215.597929,247.251,300
509,188.8897159,5278.444304,244.286,300
510,737.1931518,5242.891174,241.22825,300
511,749.2995667,7254.200707,797.41875,300
512,426.3316597,10116.3124,864.34575,300
513,188.8897159,8985.970196,704.49025,300
514,188.8897159,8141.761915,358.32925,300
515,188.8897159,7490.946165,374.2515,300
516,188.8897159,7047.242135,459.1225,300
517,188.8897159,6662.799122,260.53175,300
518,188.8897159,6347.418272,576.632,300
519,188.8897159,6092.469447,954.772,300
520,188.8897159,5399.852096,942.82675,300
521,188.8897159,4747.950304,445.882,300
522,188.8897159,5224.90615,464.7395,300
523,188.8897159,5587.141627,1399.822,300
524,2818.715455,5583.685632,1173.35675,300
525,954.3275609,5733.245727,351.30525,300
526,188.8897159,5732.560477,366.53475,300
527,188.8897159,3758.031325,627.49225,300
528,188.8897159,868.6739797,497.14,300
529,189.0933641,2165.009853,336.86825,300
530,189.0939314,3042.339387,235.80975,300
531,189.0939314,3549.150641,239.466,300
532,189.0939314,3884.800252,262.097,300
533,189.0939314,4116.547146,227.81625,300
534,189.0939314,4278.257737,284.696,300
535,1350.220564,6404.668515,380.558,300
536,239.1357526,9356.826176,420.103,300
537,189.0939314,8020.970229,420.94825,300
538,189.0939314,7080.610807,475.437,300
539,232.8805249,6505.902585,301.5545,300
540,189.0939314,5981.368396,449.9885,300
541,189.0939314,5421.808576,454.989,300
542,189.0939314,4960.452881,770.27275,300
543,189.0939314,4782.845038,1220.05975,300
544,189.0939314,4914.247382,1135.33275,300
545,2157.144931,4992.381285,397.016,300
546,189.0939314,4955.282718,348.645,300
547,1586.355408,4709.645323,570.688,300
548,517.4933831,4723.274166,606.65575,300
549,883.4242007,4885.883982,843.74175,300
550,829.4728622,4731.113496,950.419,300
551,1158.654217,2941.28968,1233.6145,300
552,189.0939314,157.3757414,873.7125,300
553,189.2929733,821.4792056,455.1665,300
554,189.2935278,1736.810003,458.442,300
555,189.2935278,2306.16725,454.11625,300
556,189.2935278,2709.062813,456.311,300
557,189.2935278,3011.095747,454.92325,300
558,502.3850428,3132.829788,449.99975,300
559,503.3634538,5241.389809,400.4375,300
560,1159.681542,8210.094919,462.404,300
561,189.2935278,6757.745073,936.832,300
562,189.2935278,5597.509065,475.04225,300
563,189.2935278,4978.600043,843.39225,300
564,189.2935278,4573.853638,546.153,300
565,555.6106003,4241.83026,1183.27275,300
566,189.2935278,4141.453001,365.029,300
567,627.6216488,4104.49781,796.65275,300
568,912.5349275,4073.618141,529.097,300
569,189.2935278,4226.634884,1048.067,300
570,429.9826299,3964.302183,799.82325,300
571,888.2703351,3879.608247,814.0155,300
572,293.3964565,3857.550577,520.83575,300
573,189.2935278,3976.292323,1109.73075,300
574,207.4919721,4439.820531,1188.7165,300
575,214.340849,2868.696505,747.92575,300
576,189.2935278,368.6277639,337.22825,300
577,189.487933,1432.478931,240.283,300
578,189.4884745,2501.831418,242.14725,300
579,189.4884745,3279.389788,243.44,300
580,189.4884745,3845.772058,244.25525,300
581,189.4884745,4226.105281,221.01975,300
582,189.4884745,4426.01998,232.22825,300
583,912.2994126,6524.975385,441.052,300
584,929.9289477,9472.123245,936.43725,300
585,189.4884745,8183.030872,499.51575,300
586,189.4884745,7130.518322,242.76075,300
587,189.4884745,6149.950013,244.4175,300
588,189.4884745,4861.17948,1386.21075,300
589,189.4884745,3909.698637,1167.66425,300
590,239.6347076,4263.613542,932.833,300
591,189.4884745,4596.264225,551.24475,300
592,189.4884745,4684.678527,493.89025,300
593,189.4884745,4687.031014,409.24275,300
594,189.4884745,4675.018121,740.51025,300
595,189.4884745,4804.16573,576.635,300
596,1952.441982,5175.138665,670.807,300
597,189.4884745,5268.633776,678.038,300
598,189.4884745,5250.08688,620.04475,300
599,1361.264906,3269.344907,617.3605,300
600,189.4884745,588.686596,463.6655,300
601,189.6782134,1969.011556,362.875,300
602,189.678742,2887.748212,353.79325,300
603,189.678742,3470.781423,225.4595,300
604,189.678742,3826.194948,229.91325,300
605,189.678742,4068.468716,235.8205,300
606,189.678742,4263.171867,388.8775,300
607,2393.622574,6272.721096,510.5145,300
608,1428.906946,8966.905798,400.32875,300
609,2554.016351,7905.056229,1237.246,300
610,189.678742,7460.379204,345.277,300
611,2001.46175,6814.557515,291.37425,300
612,189.678742,6331.323613,252.91375,300
613,881.4504358,6028.831879,230.5065,300
614,189.678742,5557.132453,229.72375,300
615,189.678742,5421.32591,1547.43375,300
616,414.779055,5478.664843,1075.86625,300
617,189.678742,5422.854216,727.9015,300
618,470.0737312,5293.566925,611.0385,300
619,189.678742,5505.392642,488.56325,300
620,189.678742,5417.665026,1122.1725,300
621,1174.002411,5237.330929,1140.97125,300
622,189.678742,4907.682352,666.689,300
623,244.3851769,2777.940073,687.45225,300
624,189.678742,1140.20249,747.0125,300
625,189.8637862,2738.6032,615.8775,300
626,189.8643016,3855.523183,226.654,300
627,189.8643016,4630.391591,244.85525,300
628,189.8643016,5153.888328,239.28975,300
629,189.8643016,5529.90474,261.3735,300
630,2381.832615,5763.936054,275.65825,300
631,879.9574777,7998.615689,249.87075,300
632,189.8643016,11131.19725,339.8155,300
633,2655.828654,10044.46259,366.523,300
634,303.3096531,9054.319735,361.002,300
635,189.8643016,8289.954083,524.437,300
636,566.7069916,8022.986222,454.37175,300
637,189.8643016,7605.200075,516.38525,300
638,189.8643016,6992.931502,405.16525,300
639,959.2514604,6324.034785,1611.4595,300
640,189.8643016,6264.900432,481.56975,300
641,189.8643016,6817.838202,461.009,300
642,189.8643016,6952.945862,834.64375,300
643,1234.032588,6924.81185,773.46275,300
644,189.8643016,6834.087744,733.30475,300
